,name,img url,ingredients,recipe,garnish,notes,url
66,Cynar Flip,https://recipe.awesomedrinks.com/media/cocktails/cynar_flip.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Canadian Whiskey'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Cynar'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Cointreau'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Clove Simple Syrup'}, {'amount': '1', 'unit': '', 'name': 'Whole Egg'}, {'amount': '1', 'unit': 'dash', 'name': 'Bittertruth Jerry Thomas Bitters'}]","Add all ingredients to a cocktail shaker and shake aggressively for one minute and strain (or double strain) into a coupe glass.
source unknown",None,"Silky mouthfeel, lightly sweet, nice moderate bitterness",https://recipe.awesomedrinks.com/recipe/cynar-flip/
67,Cynar Negroni,https://recipe.awesomedrinks.com/media/cocktails/cynar_negroni.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Cynar'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Sweet Vermouth'}]","Add all ingredients to a mixing glass with ice, stir for 30 seconds and strain into an old fashioned glass (chilled or with ice). Orange twist garnish.
source unknown",Orange Twist,"Plum, Fig, with a light sweetness and bitter finish",https://recipe.awesomedrinks.com/recipe/cynar-negroni/
68,Division Bell,https://recipe.awesomedrinks.com/media/cocktails/division-bell-cocktail.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Aperol'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Maraschino Liqueur'}]","Add all ingredients into a cocktail shaker with ice and shake for 15 seconds. Strain into a chilled coupe glass and serve. Garnish with a grapefruit twist if you have one available.
source unknown",Grapefruit Twist,"Sweet yet smoky yet bitter, a great balance of flavor experiences for mezcal drinkers.",https://recipe.awesomedrinks.com/recipe/division-bell/
69,Emerald Cocktail,https://recipe.awesomedrinks.com/media/cocktails/emerald-cocktail.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Irish Whiskey'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Sweet Vermouth'}, {'amount': '1', 'unit': 'dash', 'name': 'Orange Bitters'}]","Add all ingredients to a mixing glass with ice and stir until chilled (usually around 2 minutes). Strain into a chilled coupe glass. Using an orange zest, twist zest to extract oils over drink and rub it along the rim of your glass and drop into the drink.

We received a bit of our bitterness in the taste profile from our use of Carpano Antica Vermouth--while this drink doesn't call for it specifically it brings interesting flavor to the design.
source unknown",Orange Zest,"Lots of orange/citrus notes with a hint bitterness and sweet with a light fortified wine, but very little aggressive whiskey-forward flavor.",https://recipe.awesomedrinks.com/recipe/emerald-cocktail/
70,Fallback,https://recipe.awesomedrinks.com/media/cocktails/fallback-cocktail.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Rye Whiskey'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Apple Brandy'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Carpano Antica Sweet Vermouth'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Amaro Nonino'}, {'amount': '2', 'unit': 'dashes', 'name': ""Peychaud's Bitters""}]","Add all ingredients to a mixing glass with ice and stir until chilled (usually about 2 minutes) and strain over fresh ice into an old fashioned glass. Garnish with an orange twist.
Sasha Petraske / John Dory Oyster Bar NYC",Orange Twist,A balance between sweet and bitter with a rye whiskey profile.,https://recipe.awesomedrinks.com/recipe/fallback/
71,Flawless Victory,https://recipe.awesomedrinks.com/media/cocktails/flawless-victory.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Cynar'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Agave nectar'}, {'amount': '3', 'unit': 'dashes', 'name': 'Orange Bitters'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain over ice into an old fashioned glass, garnish and serve.
Colin Nugent",lemon wedge,None,https://recipe.awesomedrinks.com/recipe/flawless-victory/
72,Gin Campari Sour,https://recipe.awesomedrinks.com/media/cocktails/gin_campari_sour.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Campari'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '1', 'unit': 'dash', 'name': 'Orange Bitters'}, {'amount': '1', 'unit': '', 'name': 'Egg White'}]","Combined all ingredients in a cocktail shaker with egg white and dry shake aggressively for 30 seconds (no ice). Once complete, add ice to the cocktail shaker and shake again for 15 seconds.

Strain into a chilled coupe glass and garnish with citrus (either an orange wheel or lemon wheel).
Saveur",Lemon or Orange Wheel,Traditional sour flavor balanced against a lingering light bitter bite,https://recipe.awesomedrinks.com/recipe/gin-campari-sour/
73,Jeez Louis,https://recipe.awesomedrinks.com/media/cocktails/Jeez_Louis.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Averna Amaro'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Cynar'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Orange Liqueur'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Soda Water'}]","Add all but soda water to a cocktail shaker with ice and shake for 15 seconds. Strain over fresh ice in a collins glass and top with soda water.
Chris McMillian, Revel Cafe & Bar",Orange Wheel,Slightly bitter without many sweet notes and a dry citrus finish,https://recipe.awesomedrinks.com/recipe/jeez-louis/
74,Jungle Bird,https://recipe.awesomedrinks.com/media/cocktails/jungle-bird.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Campari'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Simple Syrup'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain over ice into an old fashioned glass. You can garnish with a pineapple wedge and pineapple leaf if you have them hanging around.
Aviary bar in Kuala Lumpur",Pineapple Wedge / Leaf,Tropical pineapple flavor that starts sweet with a bit of dry campari bitterness but some will find it arguably sweet.,https://recipe.awesomedrinks.com/recipe/jungle-bird/
75,Negroni,https://recipe.awesomedrinks.com/media/cocktails/negroni_uLMzv0i.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Campari'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Sweet Vermouth'}]","Build over ice in a double old fashioned glass and garnish with half a wheel of orange.
source unknown",Half Orange Wheel,Very bitter cocktail with a strong alcohol-forward flavor profile. A lingering bitter bite.,https://recipe.awesomedrinks.com/recipe/negroni/
76,Palomar,https://recipe.awesomedrinks.com/media/cocktails/The_Palomar.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Blanco Tequila'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Campari'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Simple Syrup'}, {'amount': '1', 'unit': 'dash', 'name': 'Serrano Cocktail Spice, By Drinks World'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain into an old fashioned glass with ice and garnish with a lime wheel.
Boy Drinks World",Lime Wheel,Margarita-like flavor with a spicy backend fire with a lingering yet mild bitter finish,https://recipe.awesomedrinks.com/recipe/palomar/
77,Paper Plane,https://recipe.awesomedrinks.com/media/cocktails/paper_airplane.jpg.300x300_q85_crop.jpg,"[{'amount': '22.5', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Aperol'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Amaro Nonino'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}]","Add all your ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain into a chilled coupe glass and garnish with a paper plane.
Amaro Nonino",Paper Plane,"a rollercoaster ride of flavor, a sweet start, a grapefruit mid-plate with a bitter bite that focuses on aperol and amaro nonino with little bourbon and an off-dry finish.",https://recipe.awesomedrinks.com/recipe/paper-plane/
78,Red Hook,https://recipe.awesomedrinks.com/media/cocktails/red-hook.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Rye Whiskey'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Punt e Mes Italian Vermouth'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Maraschino Liqueur'}]","Stir all ingredients in mixing glass for 2 minutes (30 seconds for the impatient) and strain into a chilled martini glass.
Milk and Honey Bar - NYC",None,A spicy manhattan with similar sweetness and the herbaceous maraschino flavor and muted bitterness; alcohol-forward flavor of rye.,https://recipe.awesomedrinks.com/recipe/red-hook/
79,Sin Cyn,https://recipe.awesomedrinks.com/media/cocktails/sin-cyn.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Single Malt Scotch (12 Year)'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Cynar'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Carpano Antica Sweet Vermouth'}]","Add all ingredients to a mixing glass and stir until chilled (roughly 2 minutes is usually best). Strain into a chilled coupe glass and garnish with an orange twist. Serve.
Red Owl Tavern in Philadelphia",Orange Twist,"A light bitter orange start, light eucalyptus herbal note, with a mild well-balanced scotch against the herbaceousness",https://recipe.awesomedrinks.com/recipe/sin-cyn/
80,Smoke Show,https://recipe.awesomedrinks.com/media/cocktails/smoke-show.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Cynar'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Green Chartreuse'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '1', 'unit': '', 'name': 'Egg White'}]","Add all ingredients, including egg white, into a cocktail shaker without ice. Dry shake aggressively for 15 seconds then add your ice and give it another 10 second shake. Strain into a chilled coupe and serve.
Liz Martinez",Cinnamon Shavings,"A dry citrus flavor, a good blend of smoke and sour that lingers; a slight hint of herbal bitterness in the mid-palate.",https://recipe.awesomedrinks.com/recipe/smoke-show/
81,Sundowner,https://recipe.awesomedrinks.com/media/cocktails/sundowner.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Campari'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '2', 'unit': 'dashes', 'name': 'Chocolate Bitters'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Cointreau'}]","Add all ingredients to a cocktail shaker and shake for 15 seconds. Strain over fresh ice into your old fashioned glass and garnish with an orange slice.
source unknown",Orange slice,"Smokey mezcal up front, bitter in the back with a little tequila sunrise like flavor profile.",https://recipe.awesomedrinks.com/recipe/sundowner/
82,Tequiliano,https://recipe.awesomedrinks.com/media/cocktails/tequillano.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Tequila'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Campari'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Sweet Vermouth'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Agave nectar'}]","Add all ingredients over ice into an old fashioned glass and give drink a quick stir and garnish with an orange slice.
Eddy Buckingham's Bar",Orange Slice,"Tequila, mild sweetness and lingering bitter bite",https://recipe.awesomedrinks.com/recipe/tequiliano/
83,The Long Goodbye,https://recipe.awesomedrinks.com/media/cocktails/LongGoodbye.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Cynar'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Rich simple syrup'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Soda Water'}]","Add all ingredients except soda water to a cocktail shaker and shake it for 15 seconds. Double strain over fresh ice into a collins glass and top with soda water (roughly 1 oz). Add a straw, give a quick stir, and serve. Add a lime for garnish.
Heather Sang, Clyde Common , Portland, Oregon.",Lime Wedge,Dry citrus zing with a bitter bite and a lingering smoke.,https://recipe.awesomedrinks.com/recipe/the-long-goodbye/
84,The Siesta,https://recipe.awesomedrinks.com/media/cocktails/siesta-cocktail-insta.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Blanco Tequila'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Campari'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients over ice into a cocktail shaker and shake for 15 seconds. Strain into a chilled coupe or Nick & Nora glass and serve.
source unknown",Grapefruit Twist,"A salty campari mild bitterness, tequila from start to finish with a tart dry finish.",https://recipe.awesomedrinks.com/recipe/the-siesta/
85,Trinidad Sour,https://recipe.awesomedrinks.com/media/cocktails/trinidad-sour.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Angostura bitters'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Rye Whiskey'}]","Chill a large coupe glass with water and ice; set aside.

Add cocktail ingredients to a cocktail shaker with ice and shake for 10 seconds. Dump ice and water from your glass and strain contents of the shaker into your chilled glass.

If you fall in love with a Trinidad sour, we suggest a 16 oz bottle of angostura bitters as you'll be going through bitters quickly.
Home Cocktail Menu",None,"Bitter clove, allspice, nutmeg and other trade spices with just the right amount of balance",https://recipe.awesomedrinks.com/recipe/trinidad-sour/
86,3 Dots and a Dash,https://recipe.awesomedrinks.com/media/cocktails/3-dots-dash.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Martinique Rhum / Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Honey Syrup / Mix'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Falernum Syrup'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Allspice dram / liqueur'}, {'amount': '3', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}]","Combine everything into a blender and blend at high speed for about 5 seconds. Pour into a tall glass and garnish with 3 cherries and a pineapple spear (can also stick the a blade of the pineapple in there). The three cherries are your three ""dots"" and the spear is the ""dash.""
Beachbum Berry's Sippin' Safari",Three Maraschino Cherries and a Pineapple Spear,"Distinct clove-forward flavor, allspice with a nice bite of sour lime and a finishing of warm rum and Martinique funkiness.",https://recipe.awesomedrinks.com/recipe/3-dots-and-a-dash/
87,Banana Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/banana-daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Puerto Rican Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Ice'}, {'amount': '0.5', 'unit': '', 'name': 'Banana'}]","Cut and peal half a banana, add banana and all remaining ingredients into blender and blend for 10 seconds or until smooth.

Use your favorite rum for this drink, it makes a difference.
Beachbum Berry REMIXED",None,A subtle banana flavor with the focused flavor of your rum breaking right through without being boozy.,https://recipe.awesomedrinks.com/recipe/banana-daiquiri/
88,Frozen Mudslide,https://recipe.awesomedrinks.com/media/cocktails/frozen_mudslide.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coffee Liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Irish Cream'}, {'amount': '180.0', 'unit': 'ml', 'name': 'Vanilla Ice Cream'}]","Add two scoops of vanilla ice cream (around 6 ounces) and remaining ingredients to a blender with ice and blend until smooth (roughly 10-15 seconds). Garnish your old fashioned glass with chocolate syrup swirls and pour into your glass.

Optionally add chocolate shavings and whipped cream.
source unknown","Chocolate Shavings, Whipped Cream","Chocolate milk blended with a cafe latte, great after dinner or before dinner beverage in warm weather.",https://recipe.awesomedrinks.com/recipe/frozen-mudslide/
89,Miami Vice,https://recipe.awesomedrinks.com/media/cocktails/miami-vice.jpg.300x300_q85_crop.jpg,"[{'amount': '150.0', 'unit': 'ml', 'name': 'Pina Colada'}, {'amount': '150.0', 'unit': 'ml', 'name': 'Strawberry Daiquiri'}]","Create both a Piña colada and the Strawberry Daiquiri separately. Then, pour your pina colada into a glass and stack the strawberry daiquiri on top. Stir a bit to look cool and serve.

Stack in a highball glass or hurricane glass if you have one available.
Common Man Cocktails",None,The perfect balance of strawberry and coconut in a single glass.,https://recipe.awesomedrinks.com/recipe/miami-vice/
90,Pearl Diver,https://recipe.awesomedrinks.com/media/cocktails/Pearl_Diver.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Gardenia Mix'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add all the ingredients into a blender with 1/2 cup crushed ice and blend on high for 20 seconds or until a nice rich foam appears. Strain (or dump if you are being lazy) into a tiki mug or Pearl Diver glass if you can find one. Top with crushed ice and garnish with an orchid and pineapple leaf. We also used an old fashioned glass because it was simple.
Beachbum Berry's Sippin' Safari",Orchid and Pineapple Frond,"Coconut, allspice, nutmeg, citrus and a bit of rich rum greets your senses with every sip",https://recipe.awesomedrinks.com/recipe/pearl-diver/
91,Pina Colada,https://recipe.awesomedrinks.com/media/cocktails/pina-colada.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coco Lopez - Cream of Coconut'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Heavy Cream'}, {'amount': '180.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '180.0', 'unit': 'ml', 'name': 'Ice'}, {'amount': '1', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}]","Add all ingredients to a blender and blend for 10 to 15 seconds. Optionally, add a maraschino cherry garnish if you'd like!
Common Man Cocktails",Luxardo Maraschino Cherry,Sweet coconut and that's about it. But oh so good.,https://recipe.awesomedrinks.com/recipe/pina-colada/
92,Port Light,https://recipe.awesomedrinks.com/media/cocktails/port-light.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Grenadine'}, {'amount': '240.0', 'unit': 'ml', 'name': 'Ice'}]","Build in blender with crushed ice, blend 5 seconds, dump into old fashioned glass and top with more crushed ice.
Beachbum Berry Remixed, A Gallery of Tiki Drinks",Garnish with bamboo pick with a bourbon cherry hanging off.,flavorful and yummies,https://recipe.awesomedrinks.com/recipe/port-light/
93,Strawberry Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/strawbery-daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Rich simple syrup'}, {'amount': '2', 'unit': '', 'name': 'Strawberries'}]","Add all ingredients to a blender and add six cubes of ice (or around 8 ounces / 1 cup) and blend for 10-15 seconds or until smooth.
Common Man Cocktails",Strawberry Slice,Sweet strawberries and a light sour lime with a cold refreshing taste.,https://recipe.awesomedrinks.com/recipe/strawberry-daiquiri/
94,Bloody Mary,https://recipe.awesomedrinks.com/media/cocktails/bloody-mary.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Tomato Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Horseradish'}, {'amount': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'amount': '4', 'unit': 'dashes', 'name': 'Tabasco sauce'}, {'amount': '1', 'unit': 'pinch', 'name': 'Salt'}, {'amount': '1', 'unit': 'pinch', 'name': 'Black pepper'}, {'amount': '1', 'unit': 'dash', 'name': ""Scrappy's Firewater Tincture""}, {'amount': '1', 'unit': 'dash', 'name': 'Celery bitters'}]","Build all ingredients in a cocktail shaker and shake for 10 seconds and strain over fresh ice into a tall glass. Garnish with celery stick and anything else you would love to see on top of your Bloody Mary.

Celery Bitters and Firewater Bitters optional ingredients that bring savory heat to your recipe.
Home Cocktail Menu",Celery Stick,"Savory flavor of tomato, salt, spice and citrus with a bit of pepper",https://recipe.awesomedrinks.com/recipe/bloody-mary/
95,Irish Coffee,https://recipe.awesomedrinks.com/media/cocktails/irish-coffee.jpg.300x300_q85_crop.jpg,"[{'amount': '240.0', 'unit': 'ml', 'name': 'Coffee'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Brown Sugar'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Irish Whiskey'}]","Fill mug with hot water to preheat it, then empty. Pour hot coffee into the warm glass to about 3/4 full and then stir in brown sugar until dissolved. Add your Irish Whiskey of choice, and top with whipped cream. Serve hot.
source unknown",Whipped Cream,"Coffee, with a mild irish whiskey, with a modest bitterness",https://recipe.awesomedrinks.com/recipe/irish-coffee/
96,Mimosa,https://recipe.awesomedrinks.com/media/cocktails/mimosa.png.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Brut Champagne'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Grand Marnier'}, {'amount': '1', 'unit': 'dash', 'name': 'Orange Bitters'}]","Add orange juice to your glass and top with champagne. Optionally, add a little bit of orange bitters and a bit of grand mariner for a great citrus experience.

Note: if you really love champagne cocktails, you may opt to add double the champagne listed in the ingredients.
source unknown",Quarter Orange Slice,A light and refreshing dry champagne and citrus experience.,https://recipe.awesomedrinks.com/recipe/mimosa/
97,Slow Comfortable Screw,https://recipe.awesomedrinks.com/media/cocktails/slow-co-screw.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Southern Comfort'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '105.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Sloe Gin'}]","Stir juice, southern comfort and bourbon together with ice until chilled and strain over fresh ice into a highball glass. Float with sloe gin on top (it will sink) and serve.
source unknown",None,Taste like freshly squeezed orange juice with a twang of southern comfort sweetness.,https://recipe.awesomedrinks.com/recipe/slow-comfortable-screw/
98,Spiked Eggnog,https://recipe.awesomedrinks.com/media/cocktails/spiked_eggnog.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Brandy / Cognac'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Heavy Cream'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Honey Syrup / Mix'}, {'amount': '1', 'unit': '', 'name': 'Whole Egg'}]","Chill your old fashioned glass with ice and water. Add all ingredients to a cocktail shaker without ice and aggressively shake for 15 seconds. Add ice to your cocktail shaker and shake for another 15 seconds.

Dump your ice and water from your glass and strain contents of shaker into a chilled glass. Garnish and serve.
source unknown",Fresh Grated Nutmeg & Cinnamon,"Creamy eggnog with a lightly burning alcohol, lightly sweet balanced against a rum finish. A bit chalky aftertaste.",https://recipe.awesomedrinks.com/recipe/spiked-eggnog/
99,Vampiro,https://recipe.awesomedrinks.com/media/cocktails/vampiro.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Reposado Tequila'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Tomato Juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Grenadine'}, {'amount': '7', 'unit': 'dashes', 'name': 'Hot sauce'}, {'amount': '1', 'unit': 'pinch', 'name': 'Salt'}, {'amount': '1', 'unit': 'pinch', 'name': 'Black pepper'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain over fresh ice into an old fashioned glass.

The original design was a combination of tequila and a homemade sangrita, however the use of orange juice with tomato juice and spices in this cocktail recipe bring those together in the build itself.

For hot sauce, one may choose Cholula as it is a Mexican hot sauce or something spicier.
source unknown",Lime Wedge,Tequila meets tomato juice which quickly bounces into a sweet tomato orange flavor profile and ends with a spicy kick.,https://recipe.awesomedrinks.com/recipe/vampiro/
100,Air Mail,https://recipe.awesomedrinks.com/media/cocktails/airmail_700x700.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Honey Syrup / Mix'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Champagne / Sparkling Wine'}]","Build all ingredients except champagne in a cocktail shaker with ice, give it a healthy 10 second shake. Strain into a coupe or Nick & Nora glass and top with champagne (at least 1.5 oz). Historically garnished with a postage stamp, probably can be skipped for this one. If possible, use a light cuban rum.
source unknown",Postage Stamp,Sweet flavors of rum and honey with a hint of champagne,https://recipe.awesomedrinks.com/recipe/air-mail/
